RECORDING_SESSION_LABEL,TRIAL_INDEX,IA_AVERAGE_FIX_PUPIL_SIZE,TRIAL_DWELL_TIME,TRIAL_FIXATION_COUNT,IA_FIXATION_%,IA_FIXATION_COUNT,IA_DWELL_TIME_%,IA_FIRST_FIXATION_DURATION,IA_LABEL,IA_MAX_FIX_PUPIL_SIZE,IA_MIN_FIX_PUPIL_SIZE,IA_REGRESSION_IN,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT,IA_REGRESSION_OUT_COUNT,IA_SKIP,IA_RUN_COUNT,sno,assertion,IA_FIRST_RUN_FIXATION_%,cond_remark,cleaned_tokens,backward_reg_count,forward_reg_count,total_reg_count,Clicked,token,Intensity_Category,Intensity_Category_Binary,Pupilsize_variation,index
p6,65,"[1106.0, 1108.0, 1082.67, 1040.0, 1039.0]",1511.0,7,"[0.1429, 0.1429, 0.4286, 0.1429, 0.1429]","[1, 1, 3, 1, 1]","[0.094, 0.0516, 0.4712, 0.092, 0.2912]","[142.0, 78.0, 133.0, 139.0, 440.0]",Word 1,"[1106.0, 1108.0, 1121.0, 1040.0, 1039.0]","[1106.0, 1108.0, 1054.0, 1040.0, 1039.0]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 2.0, 1.0, 1.0]",46,Männer sind nicht die hellsten.,"[0.1429, 0.1429, 0.2857, 0.1429, 0.1429]",hate_m,"['männer', 'sind', 'nicht', 'die', 'hellsten']","[0.0, 0.0, 0.0, 0.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 1]",,hate,1,"[0.0, 0.0, 67.0, 0.0, 0.0]",3660.0
p6,85,"[1023.0, 1054.5, 1113.0, 1125.0, 1112.0]",1166.0,8,"[0.125, 0.25, 0.25, 0.125, 0.125]","[1, 2, 2, 1, 1]","[0.1235, 0.2419, 0.2221, 0.229, 0.1604]","[144.0, 137.0, 43.0, 267.0, 187.0]",Word 1,"[1023.0, 1055.0, 1135.0, 1125.0, 1112.0]","[1023.0, 1054.0, 1091.0, 1125.0, 1112.0]","[1.0, 1.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[1.0, 2.0, 2.0, 1.0, 1.0]",43,Männer sind dümmer als Frauen.,"[0.125, 0.125, 0.125, 0.125, 0.125]",hate_m,"['männer', 'sind', 'dümmer', 'als', 'frauen']","[0.0, 1.0, 1.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0]","[1.0, 2.0, 2.0, 1.0, 0.0]","[1, 1, 1, 0, 1]",,hate,1,"[0.0, 1.0, 44.0, 0.0, 0.0]",3680.0
p7,9,"[1119.5, 1019.0, 1062.33, 1012.0, 1091.0]",2254.0,10,"[0.2, 0.1, 0.3, 0.2, 0.1]","[2, 1, 3, 2, 1]","[0.1531, 0.1256, 0.2986, 0.2103, 0.1508]","[173.0, 283.0, 251.0, 345.0, 340.0]",Word 1,"[1192.0, 1019.0, 1133.0, 1070.0, 1091.0]","[1047.0, 1019.0, 986.0, 954.0, 1091.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.0, 1.0, 2.0, 2.0, 1.0]",43,Männer sind dümmer als Frauen.,"[0.1, 0.1, 0.2, 0.1, 0.1]",hate_m,"['männer', 'sind', 'dümmer', 'als', 'frauen']","[0.0, 0.0, 0.0, 0.0, 1.0]","[2.0, 1.0, 2.0, 1.0, 0.0]","[2.0, 1.0, 2.0, 1.0, 1.0]","[0, 0, 1, 0, 0]",,hate,1,"[145.0, 0.0, 147.0, 116.0, 0.0]",3694.0
p7,17,"[1074.0, 1084.0, 1093.5, 1088.0, 1046.33]",2186.0,9,"[0.1111, 0.1111, 0.2222, 0.1111, 0.3333]","[1, 1, 2, 1, 3]","[0.0782, 0.0887, 0.2543, 0.0823, 0.4401]","[171.0, 194.0, 200.0, 180.0, 248.0]",Word 1,"[1074.0, 1084.0, 1115.0, 1088.0, 1066.0]","[1074.0, 1084.0, 1072.0, 1088.0, 1029.0]","[1.0, 0.0, 1.0, 1.0, 0.0]","[1.0, 0.0, 1.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 2.0, 1.0, 1.0]",46,Männer sind nicht die hellsten.,"[0.1111, 0.1111, 0.1111, 0.1111, 0.3333]",hate_m,"['männer', 'sind', 'nicht', 'die', 'hellsten']","[0.0, 0.0, 0.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 1, 1, 1]",,hate,1,"[0.0, 0.0, 43.0, 0.0, 37.0]",3702.0
p9,14,"[1119.0, 1135.0, 1053.0, 1094.75, 1072.0]",3614.0,17,"[0.1176, 0.0588, 0.0588, 0.0, 0.0588]","[2, 1, 1, 0, 1]","[0.0949, 0.026, 0.0351, 0.0, 0.0512]","[120.0, 94.0, 127.0, 131.5, 185.0]",Word 1,"[1146.0, 1135.0, 1053.0, 1101.5, 1072.0]","[1092.0, 1135.0, 1053.0, 1088.0, 1072.0]","[1.0, 1.0, 0.0, 0.0, 1.0]","[2.0, 1.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.0, 1.0, 1.0, 0.0, 1.0]",46,Männer sind nicht die hellsten.,"[0.0588, 0.0588, 0.0588, 0.0588, 0.0588]",hate_m,"['männer', 'sind', 'nicht', 'die', 'hellsten']","[0.0, 1.0, 1.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 0.0, 0.0]","[2.0, 1.0, 1.0, 0.0, 0.0]","[1, 0, 1, 0, 1]",,hate,1,"[54.0, 0.0, 0.0, 13.5, 0.0]",3789.0
p9,72,"[1037.0, 1058.5, 1021.5, 1029.0, 1036.5]",1582.0,7,"[0.1429, 0.2857, 0.2857, 0.1429, 0.0]","[1, 2, 2, 1, 0]","[0.11, 0.3224, 0.2528, 0.1473, 0.0]","[174.0, 125.0, 194.0, 233.0, 181.5]",Word 1,"[1037.0, 1062.0, 1025.0, 1029.0, 1038.25]","[1037.0, 1055.0, 1018.0, 1029.0, 1034.75]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[1.0, 2.0, 1.0, 1.0, 0.0]",43,Männer sind dümmer als Frauen.,"[0.1429, 0.1429, 0.2857, 0.1429, 0.1786]",hate_m,"['männer', 'sind', 'dümmer', 'als', 'frauen']","[0.0, 0.0, 0.0, 1.0, 0.0]","[1.0, 1.0, 1.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0]","[1, 0, 1, 1, 1]",,hate,1,"[0.0, 7.0, 7.0, 0.0, 3.5]",3847.0
p1,20,"[838.5, 838.5, 838.5, 838.5, 838.5, 838.5, 915.0, 838.5, 828.0, 820.0, 791.0]",1918.0,11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0909, 0.0, 0.0909, 0.1818, 0.0909]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0938, 0.0, 0.0521, 0.3441, 0.1032]","[156.5, 156.5, 156.5, 156.5, 156.5, 156.5, 180.0, 156.5, 100.0, 148.0, 198.0]",Word 1,"[850.25, 850.25, 850.25, 850.25, 850.25, 850.25, 915.0, 850.25, 828.0, 867.0, 791.0]","[826.75, 826.75, 826.75, 826.75, 826.75, 826.75, 915.0, 826.75, 828.0, 773.0, 791.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.0, 1.0]",11,Frauen sollten zu Hause bleiben und sich um das Kind kümmern.,"[0.0909, 0.0909, 0.0909, 0.0909, 0.0909, 0.0909, 0.0909, 0.0909, 0.0909, 0.0909, 0.0909]",hate_w_high,"['frauen', 'sollten', 'zu', 'hause', 'bleiben', 'und', 'sich', 'um', 'das', 'kind', 'kümmern']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",,hate,1,"[23.5, 23.5, 23.5, 23.5, 23.5, 23.5, 0.0, 23.5, 0.0, 94.0, 0.0]",15.0
p1,33,"[952.0, 1020.0, 952.0, 884.0, 952.0, 952.0]",3585.0,15,"[0.0, 0.0667, 0.0, 0.0667, 0.0, 0.0]","[0, 1, 0, 1, 0, 0]","[0.0, 0.1149, 0.0, 0.0725, 0.0, 0.0]","[336.0, 412.0, 336.0, 260.0, 336.0, 336.0]",Word 1,"[952.0, 1020.0, 952.0, 884.0, 952.0, 952.0]","[952.0, 1020.0, 952.0, 884.0, 952.0, 952.0]","[0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 0.0, 1.0, 0.0, 0.0]",9,Frauen ruinieren oft den größten Spaß.,"[0.0667, 0.0667, 0.0667, 0.0667, 0.0667, 0.0667]",hate_w_high,"['frauen', 'ruinieren', 'oft', 'den', 'größten', 'spaß']","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[1, 1, 0, 0, 0, 1]",,hate,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",28.0
p1,42,"[930.0, 930.0, 930.0, 930.0, 930.0]",2347.0,16,"[0.0, 0.0625, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0]","[0.0, 0.072, 0.0, 0.0, 0.0]","[169.0, 169.0, 169.0, 169.0, 169.0]",Word 1,"[930.0, 930.0, 930.0, 930.0, 930.0]","[930.0, 930.0, 930.0, 930.0, 930.0]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 0.0, 0.0, 0.0]",19,Frauen gehören in die Küche.,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625]",hate_w_high,"['frauen', 'gehören', 'in', 'die', 'küche']","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 1]",,hate,1,"[0.0, 0.0, 0.0, 0.0, 0.0]",37.0
p10,27,"[1073.3333333333333, 1044.0, 1062.0, 1073.3333333333333, 1073.3333333333333, 1073.3333333333333, 1073.3333333333333, 1073.3333333333333, 1073.3333333333333, 1073.3333333333333, 1114.0]",2710.0,19,"[0.0, 0.0526, 0.0526, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0526]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0, 0.0753, 0.0635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0421]","[163.33333333333334, 204.0, 172.0, 163.33333333333334, 163.33333333333334, 163.33333333333334, 163.33333333333334, 163.33333333333334, 163.33333333333334, 163.33333333333334, 114.0]",Word 1,"[1073.3333333333333, 1044.0, 1062.0, 1073.3333333333333, 1073.3333333333333, 1073.3333333333333, 1073.3333333333333, 1073.3333333333333, 1073.3333333333333, 1073.3333333333333, 1114.0]","[1073.3333333333333, 1044.0, 1062.0, 1073.3333333333333, 1073.3333333333333, 1073.3333333333333, 1073.3333333333333, 1073.3333333333333, 1073.3333333333333, 1073.3333333333333, 1114.0]","[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",11,Frauen sollten zu Hause bleiben und sich um das Kind kümmern.,"[0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526, 0.0526]",hate_w_high,"['frauen', 'sollten', 'zu', 'hause', 'bleiben', 'und', 'sich', 'um', 'das', 'kind', 'kümmern']","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",,hate,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",112.0
p10,51,"[1068.6, 1085.33, 1096.67, 1033.5, 1051.0, 1076.5]",2678.0,15,"[0.0, 0.2, 0.2, 0.1333, 0.2, 0.1333]","[0, 3, 3, 2, 3, 2]","[0.0, 0.2401, 0.1774, 0.1221, 0.2532, 0.1438]","[134.0, 143.0, 140.0, 83.0, 155.0, 149.0]",Word 1,"[1105.0, 1128.0, 1147.0, 1038.0, 1073.0, 1139.0]","[1036.8, 1055.0, 1062.0, 1029.0, 1024.0, 1014.0]","[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 2.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 3.0, 3.0, 2.0, 3.0, 2.0]",9,Frauen ruinieren oft den größten Spaß.,"[0.0667, 0.0667, 0.0667, 0.0667, 0.0667, 0.0667]",hate_w_high,"['frauen', 'ruinieren', 'oft', 'den', 'größten', 'spaß']","[0.0, 0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 2.0, 2.0, 2.0, 2.0, 0.0]","[0.0, 2.0, 2.0, 2.0, 3.0, 2.0]","[1, 1, 0, 0, 0, 0]",,hate,1,"[68.2, 73.0, 85.0, 9.0, 49.0, 125.0]",136.0
p10,69,"[1128.0, 1101.0, 1103.0, 1044.0, 1139.0]",1550.0,8,"[0.125, 0.125, 0.0, 0.25, 0.125]","[1, 1, 0, 2, 1]","[0.0703, 0.1123, 0.0, 0.42, 0.16]","[109.0, 174.0, 209.75, 308.0, 248.0]",Word 1,"[1128.0, 1101.0, 1105.75, 1055.0, 1139.0]","[1128.0, 1101.0, 1100.25, 1033.0, 1139.0]","[1.0, 0.0, 0.0, 1.0, 0.0]","[1.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 0.0, 2.0, 1.0]",19,Frauen gehören in die Küche.,"[0.125, 0.125, 0.125, 0.125, 0.125]",hate_w_high,"['frauen', 'gehören', 'in', 'die', 'küche']","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 1.0, 0.0]","[1.0, 1.0, 0.0, 1.0, 0.0]","[1, 1, 1, 1, 1]",,hate,1,"[0.0, 0.0, 5.5, 22.0, 0.0]",154.0
p11,19,"[1023.0, 1039.0, 1016.0, 1000.0, 977.0, 1011.0]",1271.0,10,"[0.1, 0.2, 0.1, 0.1, 0.1, 0.0]","[1, 2, 1, 1, 1, 0]","[0.1227, 0.2455, 0.1157, 0.1117, 0.1747, 0.0]","[156.0, 150.0, 147.0, 142.0, 222.0, 163.4]",Word 1,"[1023.0, 1044.0, 1016.0, 1000.0, 977.0, 1012.0]","[1023.0, 1034.0, 1016.0, 1000.0, 977.0, 1010.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",9,Frauen ruinieren oft den größten Spaß.,"[0.1, 0.2, 0.1, 0.1, 0.1, 0.12]",hate_w_high,"['frauen', 'ruinieren', 'oft', 'den', 'größten', 'spaß']","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1]",,hate,1,"[0.0, 10.0, 0.0, 0.0, 0.0, 2.0]",194.0
p11,69,"[939.0, 928.0, 1154.0, 912.0, 1382.0]",3607.0,21,"[0.0952, 0.2381, 0.0476, 0.1429, 0.0952]","[2, 5, 1, 3, 2]","[0.2032, 0.2614, 0.0177, 0.1586, 0.2226]","[119.0, 147.0, 64.0, 347.0, 561.0]",Word 1,"[947.0, 970.0, 1154.0, 954.0, 1846.0]","[931.0, 901.0, 1154.0, 886.0, 918.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.0, 4.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.0, 5.0, 1.0, 3.0, 2.0]",19,Frauen gehören in die Küche.,"[0.0476, 0.0476, 0.0476, 0.0476, 0.0476]",hate_w_high,"['frauen', 'gehören', 'in', 'die', 'küche']","[0.0, 2.0, 0.0, 1.0, 1.0]","[2.0, 2.0, 0.0, 1.0, 0.0]","[2.0, 4.0, 0.0, 2.0, 1.0]","[1, 1, 0, 0, 0]",,hate,1,"[16.0, 69.0, 0.0, 68.0, 928.0]",244.0
p11,84,"[889.67, 930.5, 867.0, 908.0, 850.0, 865.4633333333334, 840.0, 778.0, 820.0, 906.0, 865.4633333333334]",3785.0,21,"[0.1429, 0.0952, 0.0952, 0.0476, 0.0952, 0.0, 0.0952, 0.0952, 0.0476, 0.0952, 0.0]","[3, 2, 2, 1, 2, 0, 2, 2, 1, 2, 0]","[0.0983, 0.1461, 0.1131, 0.0394, 0.088, 0.0, 0.107, 0.0425, 0.0758, 0.1725, 0.0]","[266.0, 231.0, 169.0, 149.0, 198.0, 197.11111111111111, 204.0, 116.0, 287.0, 154.0, 197.11111111111111]",Word 1,"[995.0, 941.0, 930.0, 908.0, 865.0, 901.5555555555557, 841.0, 789.0, 820.0, 1025.0, 901.5555555555557]","[808.0, 920.0, 804.0, 908.0, 835.0, 832.0, 839.0, 767.0, 820.0, 787.0, 832.0]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[2.0, 1.0, 2.0, 1.0, 2.0, 0.0, 2.0, 1.0, 1.0, 2.0, 0.0]",11,Frauen sollten zu Hause bleiben und sich um das Kind kümmern.,"[0.0476, 0.0952, 0.0476, 0.0476, 0.0476, 0.0581777777777777, 0.0476, 0.0952, 0.0476, 0.0476, 0.0581777777777777]",hate_w_high,"['frauen', 'sollten', 'zu', 'hause', 'bleiben', 'und', 'sich', 'um', 'das', 'kind', 'kümmern']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[2.0, 1.0, 2.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[2.0, 1.0, 2.0, 1.0, 2.0, 0.0, 2.0, 1.0, 1.0, 1.0, 0.0]","[0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1]",,hate,1,"[187.0, 21.0, 126.0, 0.0, 30.0, 69.55555555555556, 2.0, 22.0, 0.0, 238.0, 69.55555555555556]",259.0
p12,9,"[1201.0, 1174.0, 1147.0, 1128.0, 1162.5]",1271.0,5,"[0.2, 0.2, 0.2, 0.2, 0.0]","[1, 1, 1, 1, 0]","[0.2227, 0.2116, 0.288, 0.1629, 0.0]","[283.0, 269.0, 366.0, 207.0, 281.25]",Word 1,"[1201.0, 1174.0, 1147.0, 1128.0, 1162.5]","[1201.0, 1174.0, 1147.0, 1128.0, 1162.5]","[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 0.0]",19,Frauen gehören in die Küche.,"[0.2, 0.2, 0.2, 0.2, 0.2]",hate_w_high,"['frauen', 'gehören', 'in', 'die', 'küche']","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 0.0, 0.0]","[1, 1, 0, 0, 1]",,hate,1,"[0.0, 0.0, 0.0, 0.0, 0.0]",274.0
p12,41,"[1189.33, 1185.0, 1199.0, 1206.0, 1203.0, 1221.0]",2299.0,10,"[0.3, 0.1, 0.1, 0.1, 0.2, 0.1]","[3, 1, 1, 1, 2, 1]","[0.2062, 0.2214, 0.1305, 0.1035, 0.2236, 0.0579]","[215.0, 509.0, 300.0, 238.0, 326.0, 133.0]",Word 1,"[1215.0, 1185.0, 1199.0, 1206.0, 1208.0, 1221.0]","[1161.0, 1185.0, 1199.0, 1206.0, 1198.0, 1221.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[2.0, 1.0, 1.0, 1.0, 1.0, 1.0]",9,Frauen ruinieren oft den größten Spaß.,"[0.1, 0.1, 0.1, 0.1, 0.2, 0.1]",hate_w_high,"['frauen', 'ruinieren', 'oft', 'den', 'größten', 'spaß']","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 1, 0, 0, 0, 0]",,hate,1,"[54.0, 0.0, 0.0, 0.0, 10.0, 0.0]",306.0
p12,49,"[1266.0, 1275.0, 1298.0, 1295.0, 1271.0, 1221.111111111111, 1215.0, 1137.0, 1221.111111111111, 1115.0, 1118.0]",1788.0,11,"[0.0909, 0.0909, 0.0909, 0.0909, 0.0909, 0.0, 0.1818, 0.0909, 0.0, 0.0909, 0.0909]","[1, 1, 1, 1, 1, 0, 2, 1, 0, 1, 1]","[0.1169, 0.132, 0.1426, 0.0956, 0.0755, 0.0, 0.2092, 0.0621, 0.0, 0.0861, 0.0006]","[209.0, 236.0, 255.0, 171.0, 135.0, 160.77777777777777, 175.0, 111.0, 160.77777777777777, 154.0, 1.0]",Word 1,"[1266.0, 1275.0, 1298.0, 1295.0, 1271.0, 1224.2222222222222, 1243.0, 1137.0, 1224.2222222222222, 1115.0, 1118.0]","[1266.0, 1275.0, 1298.0, 1295.0, 1271.0, 1218.0, 1187.0, 1137.0, 1218.0, 1115.0, 1118.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]",11,Frauen sollten zu Hause bleiben und sich um das Kind kümmern.,"[0.0909, 0.0909, 0.0909, 0.0909, 0.0909, 0.1009999999999999, 0.1818, 0.0909, 0.1009999999999999, 0.0909, 0.0909]",hate_w_high,"['frauen', 'sollten', 'zu', 'hause', 'bleiben', 'und', 'sich', 'um', 'das', 'kind', 'kümmern']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",,hate,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 6.222222222222222, 56.0, 0.0, 6.222222222222222, 0.0, 0.0]",314.0
